ID;Titulo_PT;Vida_Util;Custo;Impacto_Diario;Resistencia;Temp_Max;Fonte;Titulo_EN;Nome_Imagem;Descricao_PT;Descricao_EN
1;Aquecedor Infravermelho de Cerâmica para Sauna;20;11;50;14;400;Cartas;Ceramic Infrared Sauna Heater;flame;Aquecedores de sauna emitem um calor infravermelho suave e consistente, penetrando na pele para um aquecimento profundo, promovendo relaxamento. Seus elementos de cerâmica garantem uso eficiente de energia, durabilidade e distribuição uniforme de calor para uma sauna confortável.;Sauna heaters emit a gentle, consistent infrared heat, penetrating the skin for a deep sweat, promoting relaxation. Their ceramic elements ensure energy-efficient use, durability and even heat distribution for a comfortable sauna.
2;Isolador de Porcelana para Linhas de Energia;100;4;93;82;300;Cartas;Porcelain Insulator for Power Lines;zap;A cerâmica fornece excelente isolamento elétrico, resiste às intempéries, ao estresse mecânico e suporta altas tensões, garantindo uma transmissão segura e confiável de eletricidade, prevenindo o vazamento de corrente e mantendo a integridade estrutural.;Ceramic provides excellent electrical insulation, withstands weathering, mechanical stress, and supports high voltages, ensuring safe and reliable transmission of electricity, preventing current leakage and maintaining structural integrity.
3;Caneca de Café de Cerâmica;96;1;98;50;200;Cartas;Ceramic Coffee Mug;coffee;Boa retenção de calor, durabilidade, atóxica e fácil de limpar fazem das canecas de cerâmica a escolha certa, desde pais cansados até estudantes estudando tarde da noite.;Good heat retention, durability, non-toxic and easy to clean make ceramic mugs the go-to choice from tired parents to late night studying students.
4;Tijolo Refratário para Forno a Lenha;76;18;72;76;200;Cartas;Refractory Brick for Wood-Fired Oven;brick-wall;Esses tijolos revestem as câmaras de cozimento, fornecendo isolamento para reter o calor, suporte estrutural para suportar o estresse térmico e proteção contra fogo intenso. Esses tijolos especializados garantem temperaturas de cozimento eficientes e consistentes para resultados culinários ideais.;These bricks line cooking chambers providing insulation to retain heat, structural support to withstand thermal stress, and protection against intense fire. These specialised bricks ensure efficient, consistent cooking temperatures for optimal culinary results.
5;Molde de Turbina de Motor a Jato;36;38;15;85;1260;Cartas;Jet engine turbine mould;fan;Moldes de cerâmica na fundição de precisão criam pás de turbina precisas com estruturas internas complexas. O processo forma superligas de níquel monocristalino que suportam temperaturas extremas, usando cascas detalhadas que são removidas após o vazamento do metal e antes do acabamento.;Ceramic moulds in investment casting create precise turbine blades with complex internal structures. The process forms single-crystal nickel superalloys that withstand extreme temperatures, using detailed shells that are removed after pouring metal and before finishing.
6;Tampão de Purga;46;25;26;72;1600;Cartas;Purging plug;wind;Gases inertes são injetados no aço fundido, pelo fundo da panela, para promover a mistura, o controle de temperatura e a remoção de impurezas. Os tampões de purga suportam calor extremo, ao mesmo tempo em que melhoram a qualidade do aço e a eficiência do refino.;Inert gases are injected into molten steel, from the bottom of the ladle, to promote mixing, temperature control and impurity removal. Purging plugs endure extreme heat while improving steel quality and refining efficiency.
7;Válvula Gaveta;48;30;28;98;1650;Cartas;Slide gate;sliders-horizontal;As válvulas gaveta controlam o fluxo de aço fundido da panela. Duas placas de cerâmica deslizam uma sobre a outra para abrir e fechar a saída. Elas fornecem resistência à temperatura, proteção contra erosão, estabilidade química e permitem um controle preciso do vazamento, minimizando a manutenção.;Slide gates control the flow of molten steel from the ladle. Two ceramic plates slide against each other to open and close the outlet. They provide temperature resistance, erosion protection, chemical stability and allow for precise pouring control, minimising maintenance.
8;Telescópio Espacial;24;83;3;100;2000;Cartas;Space telescope;telescope;Espelhos de carboneto de silício (SiC) oferecem alta rigidez, baixo peso e excelente estabilidade térmica, tornando-os ideais para telescópios espaciais que exigem imagens precisas e durabilidade em ambientes extremos.;Silicon carbide (SiC) mirrors offer high stiffness, low weight, and excellent thermal stability, making them ideal for space telescopes requiring precise imaging and durability in extreme environments.
9;Fornos Rotativos;68;61;48;93;1500;Cartas;Rotary kilns;factory;Permitindo o tratamento térmico contínuo de materiais, os fornos rotativos são usados em várias indústrias para processamento em alta temperatura. Por exemplo, cimento, cal, calcinação de minerais, incineração de resíduos e produção de produtos químicos, cerâmicas e metais.;Allowing for continuous thermal treatment of materials, rotary kilns are used in various industries for high-temperature processing. For example, cement, lime, calcining of minerals, waste incineration, and production of chemicals, ceramics, and metals.
10;Freios de Cerâmica;83;11;83;75;1600;Cartas;Ceramic brakes;disc-3;Os freios de carbono-cerâmica combinam fibras de carbono com carboneto de silício para um poder de frenagem superior. Eles oferecem excepcional resistência ao calor, peso reduzido, desempenho consistente sob condições extremas, vida útil mais longa e menos poeira de freio.;Carbon-ceramic brakes combine carbon fibres with silicon carbide for superior stopping power. They offer exceptional heat resistance, reduced weight, consistent performance under extreme conditions, longer lifespan, and less brake dust.
11;Plataforma de Lançamento;24;83;4;34;3300;Cartas;Launch pad;rocket;Cerâmicas refratárias revestem os defletores de chama das plataformas de lançamento e as trincheiras de exaustão, protegendo as estruturas do calor extremo, abrasão e corrosão causados pela exaustão dos foguetes, garantindo durabilidade e segurança durante os lançamentos.;Refractory ceramics line launch pad flame deflectors and exhaust trenches, protecting the structures from extreme heat, abrasion, and corrosion caused by rocket exhaust, ensuring durability and safety during launches.
12;Coroa Dentária de Zircônia;86;11;85;78;1000;Cartas;Zirconia Dental Crown;crown;Com sua força excepcional, durabilidade, biocompatibilidade e preparo mínimo do dente, as cerâmicas são ideais para restaurações de longa duração, sem metal, que suportam fortes forças de mastigação e dão uma aparência natural.;With their exceptional strength, durability, biocompatibility, and minimal tooth preparation, ceramics are ideal for long-lasting, metal-free restorations that withstand heavy chewing forces and give a natural look.
13;Revestimento de Forno de Indução;52;50;32;90;2800;Cartas;Induction Furnace lining;flame-kindling;Um forno elétrico que derrete metais usando calor gerado por indução eletromagnética. Oferece um derretimento limpo, eficiente em termos de energia e bem controlado para vários metais, sem combustão ou arco, e é amplamente utilizado em fundições modernas para a produção precisa de ligas.;An electrical furnace that melts metals using heat generated by electromagnetic induction. It offers clean, energy-efficient, and well-controlled melting for various metals, without combustion or arcing, and is widely used in modern foundries for precise alloy production.
14;Carros Torpedo;44;66;24;70;1600;Cartas;Torpedo Cars;train-front;O metal fundido quente é movido entre o alto-forno e a aciaria por meio de uma ferrovia. Carros isolados, com formato de torpedo, possuem revestimentos de cerâmica refratária que retêm o calor, resistem ao desgaste e garantem o transporte seguro e eficiente de metal fundido.;Hot molten metal is moved between the blast furnace and the steel mill via a railway. Insulated, torpedo-shaped cars feature refractory ceramic linings that retain heat, resist wear, and ensure the safe, efficient transport of molten metal.
15;Regenerador Térmico;34;57;14;32;700;Cartas;Thermal regenerator;battery-charging;As cerâmicas refratárias armazenam e liberam calor de forma eficiente em altas temperaturas, oferecendo rápida absorção de calor e isolamento. Elas aumentam o armazenamento de energia, a durabilidade e a eficiência, apoiando a energia renovável sustentável e aplicações de aquecimento industrial.;Refractory ceramics efficiently store and release heat at high temperatures, offering rapid heat absorption and insulation. They enhance energy storage, durability, and efficiency, supporting sustainable renewable energy and industrial heating applications.
16;Banho de Vidro Float;70;79;44;96;1900;Cartas;Glass float bath;waves;O vidro é formado flutuando vidro fundido em um banho de estanho fundido. Ele se espalha e nivela sob a gravidade e a tensão superficial, criando uma chapa lisa. Cerâmicas refratárias revestem o banho de estanho, garantindo vidro de qualidade e ao mesmo tempo aumentando a eficiência, durabilidade e vida útil.;Glass is formed by floating molten glass on a bath of molten tin. It spreads and flattens under gravity and surface tension, creating a smooth sheet. Refractory ceramics line the tin bath, ensuring quality glass whilst enhancing efficiency, durability, and service life.
17;Refratário de Parede de Forno;80;50;60;93;1700;Cartas;Kiln Wall Refractory;blocks;Os fornos de túnel são fornos alongados e de operação contínua, usados na produção em massa de produtos cerâmicos. As cerâmicas são carregadas em vagões que se movem por diferentes zonas de temperatura, permitindo uma queima eficiente e consistente.;Tunnel kilns are elongated, continuously operating furnaces used in the mass production of ceramic products. Ceramics are loaded onto cars that move through different temperature zones, allowing for efficient and consistent firing.
18;Colete à Prova de Balas;95;15;3;88;1000;Cartas;Bulletproof vest;shield;Placas de cerâmica fornecem uma barreira dura e leve que estilhaça e dispersa a energia dos projéteis recebidos, reduzindo a penetração e espalhando a força de impacto sobre uma área mais ampla, aumentando significativamente a proteção e reduzindo o risco de lesões para o usuário.;Ceramic plates provide a hard, lightweight barrier that shatters and disperses the energy of incoming projectiles, reducing penetration and spreading the impact force over a wider area, significantly enhancing protection and reducing injury risk for the wearer.
19;Elemento de Aquecedor de Cerâmica Infravermelho;14;3;80;78;700;Cartas;Infrared Ceramic Heater Element;radiation;Fornecendo emissão de calor eficiente e uniforme, excelente estabilidade térmica e capacidade de aquecimento rápido. Sua resistência à oxidação e corrosão garante longa vida útil, tornando-os ideais para aplicações de aquecimento industrial, comercial e doméstico.;Providing efficient and uniform heat emission, excellent thermal stability, and rapid heating capabilities. Their resistance to oxidation and corrosion ensures a long lifespan, making them ideal for industrial, commercial, and domestic heating applications.
20;Revestimento de Distribuidor;62;54;45;90;2800;Cartas;Tundish Lining;container;As cerâmicas são usadas nos revestimentos dos distribuidores (tundish) de siderúrgicas para isolar, resistir a choques térmicos, evitar a perda de calor, minimizar a contaminação e estender a vida útil do recipiente durante a transferência de aço fundido em operações de lingotamento contínuo.;Ceramics are used in steel mill tundish linings to insulate, resist thermal shock, prevent heat loss, minimize contamination, and extend the vessel's lifespan during the transfer of molten steel in continuous casting operations.
21;Isolador de Vela de Ignição;78;1;78;50;1000;Cartas;Spark Plug Insulator;plug-zap;Devido ao seu excelente isolamento elétrico, alta condutividade térmica e resistência, as cerâmicas são usadas em velas de ignição como isoladores. Elas garantem uma entrega de faísca confiável, evitam descargas superficiais (flashover) e dissipam o calor.;Due to their excellent electrical insulation, high thermal conductivity, and strength, ceramics are used in spark plugs as insulators. They ensure reliable spark delivery, prevent flashover, and dissipate heat.
22;Pedra de Pizza de Cordierita;94;2;70;91;1300;Cartas;Cordierite Pizza Stone;pizza;As cerâmicas são usadas em pedras de pizza por sua excelente retenção de calor, distribuição uniforme e resistência a choques térmicos. Sua estrutura porosa absorve a umidade da massa, produzindo crostas mais crocantes, e suportam rápidas mudanças de temperatura sem rachar.;Ceramics are used in pizza stones for their excellent heat retention, even distribution, and thermal shock resistance. Their porous structure absorbs moisture from the dough, producing crispier crusts, and they withstand rapid temperature changes without cracking.
23;Churrasqueira de Cerâmica;92;10;66;80;600;Cartas;Ceramic BBQ Grill;beef;Um Kamado é uma tradicional churrasqueira e defumador a carvão de cerâmica, conhecido por excelente retenção de calor, cozimento uniforme e versatilidade, permitindo grelhar, defumar e assar com uso eficiente de combustível e controle preciso de temperatura.;A Kamado is a traditional ceramic charcoal BBQ grill and smoker, known for excellent heat retention, even cooking, and versatility, allowing for grilling, smoking, and baking with efficient fuel use and precise temperature control.
24;Eletrodo de Forno de Grafite;54;38;38;88;2500;Cartas;Graphite Furnace Electrode;pencil;Usado em fornos a arco elétrico como fonte de carbono e condutor para a fabricação de aço. Os fornos a arco elétrico refinam o ferro e produzem aço, fornecendo o calor necessário para derreter o minério de ferro, remover as impurezas do ferro fundido e criar a escória.;Used in electric arc furnaces as a carbon source and conductor for steelmaking. Electric arc furnaces refine iron and produce steel, providing the necessary heat to melt the iron ore, remove impurities from the molten iron, and create slag.
25;Rolamentos de Esferas de Cerâmica;85;3;1;71;1000;Cartas;Ceramic Ball Bearings;circle-dot;Leves, compatíveis com vácuo, não magnéticos, resistentes ao desgaste e à temperatura, os rolamentos de cerâmica são ideais para uso em aplicações como satélites, espaçonaves, equipamentos médicos, veículos elétricos e equipamentos industriais.;Lightweight, vacuum-compatible, non-magnetic, wear and temperature resistant, ceramic bearings are ideal for use in applications such as satellites, spacecraft, medical equipment, electric vehicles, and industrial equipment.
26;Conversor Catalítico;71;11;95;68;800;Cartas;Catalytic convertor;grid-3x3;Cerâmicas refratárias formam substratos em forma de favo de mel em conversores catalíticos, fornecendo resistência ao calor, resistência mecânica e grande área de superfície para catalisadores. Elas garantem um fluxo de gás eficiente, suportam condições severas de exaustão e permitem um controle efetivo de emissões.;Refractory ceramics form honeycomb-shaped substrates in catalytic converters, providing heat resistance, mechanical strength, and a large surface area for catalysts. They ensure efficient gas flow, withstand harsh exhaust conditions, and enable effective emissions control.
27;Manta de Isolamento para Forno;78;30;58;26;1200;Cartas;Kiln insulation blanket;layers;Fibras de aluminossilicato de alta pureza são usadas em mantas de isolamento de fornos para fornecer um isolamento leve, flexível e incombustível que suporta temperaturas extremas, minimiza a perda de calor e resiste a choques térmicos.;High-purity aluminosilicate fibres are used in kiln insulation blankets to provide lightweight, flexible, non-combustible insulation that withstands extreme temperatures, minimizes heat loss, and resists thermal shock.
28;Revestimento de Panela de Fundição;64;52;22;90;2800;Cartas;Ladle Lining;soup;Refratários de alta alumina e à base de mulita fornecem isolamento térmico, resistem à abrasão e ataque químico, estendem a vida útil da panela e mantêm a temperatura do metal fundido, garantindo uma transferência limpa e eficiente durante a fundição.;High-alumina and mullite-based refractories provide thermal insulation, resist abrasion and chemical attack, extend ladle lifespan, and maintain molten metal temperature, ensuring clean and efficient transfer during casting.
29;Filtro de Partículas Diesel;60;45;90;70;1200;Cartas;Diesel Particulate Filter;filter;Filtra a fuligem dos gases de escape de motores a diesel, melhorando a qualidade do ar e atendendo a normas ambientais rigorosas.;Filters soot from diesel engine exhaust gases, improving air quality and meeting strict environmental standards.
30;Sistema de Proteção Térmica de Reentrada;28;100;8;95;2760;Cartas;Space Shuttle Shield;shield-half;Protege veículos espaciais do calor extremo gerado pela fricção atmosférica durante a reentrada, garantindo a segurança da tripulação e dos equipamentos.;Protects spacecraft from extreme heat generated by atmospheric friction during reentry, ensuring the safety of the crew and equipment.
31;Cerâmicas Ablativas;1;63;6;40;3000;Cartas;Rocket Nozzle (Ablative Ceramics);flame;Projetadas para queimar e erodir lentamente, dissipando o calor intenso dos motores de foguete e protegendo a estrutura principal.;Designed to slowly burn and erode, dissipating intense heat from rocket engines and protecting the main structure.
32;Tijolo Refratário para Churrasqueira;76;18;72;76;400;Cartas;Refractory Brick for BBQ Grill;blocks;Tijolos especiais que suportam e retêm o calor das chamas, ideais para construir churrasqueiras duráveis e eficientes.;Special bricks that withstand and retain heat from flames, ideal for building durable and efficient BBQ grills.
33;Vitrocerâmica para Cooktop de Indução;90;8;74;58;260;Cartas;Glass-Ceramic Induction Cooktop;cooking-pot;Combina a estética do vidro com a resistência térmica da cerâmica. Suporta mudanças bruscas de temperatura sem quebrar.;Combines the aesthetics of glass with the thermal resistance of ceramics. Withstands sudden temperature changes without breaking.
34;Mobília para Queima de Produtos Cerâmicos;65;8;56;100;1600;Cartas;Kiln Shelves;rows-3;Prateleiras e suportes usados dentro de fornos industriais. Suportam o peso de outros produtos cerâmicos durante a queima em altas temperaturas.;Shelves and supports used inside industrial kilns. They bear the weight of other ceramic products during high-temperature firing.
35;Cone de Exaustão em Turbinas a Jato;40;63;18;86;2000;Cartas;Turbine Engine Exhaust Cone;fan;Direciona os gases quentes na saída de motores a jato, suportando temperaturas extremas e ajudando a maximizar o empuxo da aeronave.;Directs hot gases at the exhaust of jet engines, withstanding extreme temperatures and helping maximize aircraft thrust.
36;Capacitores Cerâmicos;80;5;99;30;125;Cartas;Ceramic Capacitors;cpu;Essenciais para armazenar e liberar energia elétrica em circuitos. São usados em quase todos os eletrônicos modernos, de smartphones a computadores.;Essential for storing and releasing electrical energy in circuits. They are used in almost all modern electronics, from smartphones to computers.
